"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15459.5516753675","15586.8961718588","15497.4647441974","15991.7642013291","16697.2487724641","15628.3969921892","16303.7238921465","16828.6408230718","17258.9648557251","17551.3059682292","18311.0137147069","17207.4935626349","17143.8258350673","17955.1049410143","18745.6815342211","19682.6358964173","21851.5939271176","23511.3316558109","23130.5531233576","20046.839017266","18205.9853689337","17604.4171016288","17965.5023271233","17641.5425333279","18104.2414700004","18595.0849042657","19417.9648194984","19840.0761229321","21115.7982687308","21910.1849853005","",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31306.7767696512","30787.3132468221","30541.3702223994","31462.8357674023","32371.8022439905","33210.5300027084","34048.3435368561","35005.074429495","36227.5963138548","37633.2123627973","38649.8091531421","38868.4467706535","39933.3318662571","40621.3433427166","41781.508781393","42554.942793211","43103.5670992148","44481.8293950268","45194.1179525441","45129.7296366432","45351.7918953868","45827.4661378334","46798.8634146169","47189.3363481445","47668.362013146","48017.488454178","48583.0898155969","48870.5882865827","49544.982964696","49854.0903194763","",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37666.2976718373","38575.5569953126","38952.0900136986","38835.718946082","39615.8360888645","40610.5551459346","41508.6311487925","42329.6618726799","43797.5825611302","45267.01101668","46682.708109642","47093.6368949168","47636.47410098","47851.2891266354","48856.0279888886","49613.2364846442","51073.5613476145","52805.8390721936","53409.5719894935","51264.4619633558","52080.8880596327","53422.7252241042","53541.5643845839","53240.5007342368","53175.3499781944","53116.0380920591","53590.0823402261","54496.1636938075","55630.6084761777","56187.5840489439","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7758.15403607236","7585.17951719775","5782.65027681675","4379.81407803336","3469.77031647845","3025.29387687973","3033.830388279","3178.97739607155","3463.84200968233","3687.6610145928","4063.47164104466","4431.28987324473","4813.50418477741","5264.84052596649","5701.90326352629","7222.03607503781","9605.09610840819","11914.994832597","12903.1519167445","13822.0911094279","14312.7561158751","13905.2457636452","14023.9807176578","14652.7042457179","14875.7816413327","14853.9105525729","14238.7841366188","14121.4069355591","14209.6494059309","14403.8504687949","",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184.84244047638","1215.88653124915","1202.10713942057","1105.228876226","1044.71553683812","947.822367711361","861.482736903432","839.196845267928","870.044081803464","850.048016226981","828.000459963366","826.029067773258","839.778526667927","804.885029198471","817.460585353135","798.704284723934","815.053735830679","815.90943944186","827.792518241446","831.564131168609","846.169526927269","852.502621649322","862.71608619147","877.274160261081","886.23577677556","825.205985575849","794.604574423363","773.571858394255","761.524193384446","751.663957194118","",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35632.8005541464","36151.3902585688","36556.1288818753","36063.3523706624","37112.5502499414","37918.0968110207","38344.1707172284","39702.623804126","40395.166158271","41730.5117972341","43176.6628913297","43501.5599005198","44046.1927339965","44317.4643290569","45701.910413132","46506.4722515995","47379.9490003291","48762.6562216541","48595.1795534453","47231.6373315927","48142.6242414888","48325.5828564135","48381.8350809222","48375.4736504452","48921.4371778732","49631.7242795872","50006.5772670858","50615.3658313943","51298.6303235428","51934.1254632604","",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2175.20551783177","2191.83932970741","2179.50804702651","2227.35239338017","2195.82013074675","2253.11723647127","2277.76667477356","2336.5477319825","2358.28377171804","2411.99301127969","2478.21643303685","2532.63226240282","2570.78941796305","2579.69815032321","2614.21211817471","2581.64160468399","2606.81617978405","2685.12930866085","2738.1924956004","2724.08628931232","2704.70401397294","2707.86941421509","2759.84995776779","2876.90563418335","2975.85391436098","2945.97300620254","2961.44177792771","3044.51388698516","3160.7770925266","3287.30953781495","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017.53993534132","1080.51544998222","1054.25327219958","1061.58653061488","1046.60925447531","1076.46887660674","1162.45018962527","1201.95165371254","1254.13691021992","1309.40200979182","1296.74896555226","1343.54376753886","1362.27984300837","1426.61705025211","1447.50443336938","1527.02272739518","1574.72978048784","1590.83116329469","1632.94858853561","1631.19382841923","1716.35766288052","1775.77962026629","1834.54397199043","1883.79830512278","1907.95051451535","1925.33122496894","1981.42683815237","2044.38187401171","2120.32286067463","2178.3234151007","",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1517.72928577649","1534.52515023971","1582.31365813459","1621.32687556206","1648.73403806059","1696.56786916241","1735.92193440148","1775.96422096177","1829.50385048636","1876.59910376357","1937.72931354734","1998.06642742117","2037.23617148073","2097.16867032672","2171.68862788344","2279.53127370224","2399.08200601731","2537.11128648662","2659.04917678232","2762.18043658117","2883.46685252553","3034.93798812944","3195.73714817367","3348.95347376199","3511.58228216065","3700.11108105238","3920.30111862047","4161.08971339052","4441.42446216244","4753.72694673667","",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12061.4649239753","11152.7458547749","10453.3277304317","10381.0729220135","10605.7565802023","10957.2512543782","11579.9024202551","9997.06529635021","10495.2697824171","9680.27510021682","10193.4108381837","10795.2874807447","11688.9321107649","12388.8736244739","13286.8587189471","14344.9482377754","15437.5204057782","16571.1691461815","17703.4582887039","17216.5617290851","17427.2215430305","17952.3024607253","18120.975064117","18282.0368047444","18732.9119782303","19605.0228078033","20497.28113751","21370.7826591284","22191.3249974971","23173.689117498","",
