Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
ARG_Exports of goods and services (% of GDP),Argentina,ARG,Exports of goods and services (% of GDP),10.986375232557599,11.5790080825317,28.3825969991682,25.9309429264224,23.8476194239892,23.245876733857603,23.0266946038115,22.6627503115066,22.060900382624197,19.5609850560818,18.933823405370898,18.4492091453155,16.237859462024602,14.6171733884386,14.405478589375598,10.705652050453802,12.5270951690009,11.320283359718001,14.619831249440699,exports_rate
ARG_Exports of goods and services (current million US$),Argentina,ARG,Exports of goods and services (current million US$),31223.690399999916,31112.4184,27736.610298255477,33084.50527780609,39266.99660579746,46198.180131004534,53550.2502273909,65162.321195025055,79762.95839230096,65133.480388494565,80208.86799571724,97810.93262937658,88655.85085377232,80690.47189844215,75818.8679110826,63671.78906889886,69842.48609586517,72860.58869663299,75676.15010238733,exports
ARG_Exports of goods and services (current million US$) per capita,Argentina,ARG,_Exports of goods and services (current million US$) per capita,0.0008468408987310175,0.0008346579263053534,0.0007360754485747325,0.0008686363142669496,0.0010201347077202867,0.0011878297403454766,0.001362952825340687,0.0016420178610965636,0.0019900858278085955,0.001608917853891253,0.0019664601644910937,0.0023705138284966583,0.002124344647074808,0.0019119635138750931,0.0017768867202822298,0.0014762088301029186,0.001602245846969339,0.001654237742026705,0.0017007977772711632,exports_hab
ARG_Exports of goods and services (current million US$) per labor unit,Argentina,ARG,_Exports of goods and services (current million US$) per labor unit,0.0019126642058165633,0.0018833219531660108,0.001671607388362303,0.0019485705887425117,0.002259957760581633,0.0026366049218909,0.003002764618020176,0.003649493387322464,0.004461540325033809,0.003573052645730412,0.004401553806954226,0.005270685039150216,0.0047230330799741494,0.004262267186357135,0.003988522012797687,0.0032887396691383703,0.003545942492377062,0.003636616806585756,0.003682236329969845,exports_labor_unit
ARG_GDP (current million US$),Argentina,ARG,GDP (current million US$),284203.75,268696.75,97724.0042518602,127586.97349217699,164657.930452787,198737.095012282,232557.260817308,287530.508430568,361558.037110419,332976.48457761895,423627.42209249,530163.281574658,545982.375701128,552025.1402522459,526319.6737316379,594749.285413212,557531.376217967,643628.665302668,517626.70041271794,gdp
ARG_GDP per capita (current US$),Argentina,ARG,GDP per capita (current US$),7708.1009960541405,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.012037077529,7245.44831728945,9020.873098071941,8225.13717626412,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824669599,11633.498008646498,gdb_hab
ARG_Gross capital formation (% of GDP),Argentina,ARG,Gross capital formation (% of GDP),17.5334874363903,15.6259653308051,10.8539052402585,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.053112359211198,17.705533806204603,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.070704884158303,17.6632278606203,18.2125671743459,16.0469030589825,FBCF
"ARG_Labor force, total",Argentina,ARG,"Labor force, total",16324711.0,16519968.0,16592778.0,16978859.0,17375102.0,17521844.0,17833649.0,17855169.0,17877897.0,18229085.0,18222853.0,18557537.0,18770957.0,18931350.0,19009264.0,19360544.0,19696452.0,20035267.0,20551682.0,labor_force
"ARG_Population, total",Argentina,ARG,"Population, total",36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,pop
"ARG_Unemployment, total (% of total labor force) (modeled ILO estimate)",Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",15.0,17.3199996948242,19.590000152587898,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,unemployment rate
ARM_Exports of goods and services (% of GDP),Armenia,ARM,Exports of goods and services (% of GDP),22.1614188089398,24.145854395630604,27.832108365994,30.4829978923981,28.1907438231723,27.313197950011503,22.145981435513395,18.189356981972498,14.265729573976701,14.6709007461363,19.7484153168252,22.5231882640131,27.5618114828439,28.3534851384818,28.5603816555446,29.7253912120334,33.7442798606396,38.21604565504639,39.392894028607294,exports_rate
