"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central Europe and the Baltics","CEB","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0181818181818","32.7818181818182","31.7272727272727","31.6090909090909","30.8181818181818","30.0545454545455","29.6909090909091","29.8","29.6545454545455","29.5909090909091","29.5636363636364","29.2272727272727","29.2363636363636","28.8272727272727","26.6090909090909","",
"Switzerland","CHE","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","16.7","17.2","16.7","16.6","17.5","17.6","17.8","17.7","17.7","17.7","17.7","17.7","17.7","17.7","",
"Channel Islands","CHI","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","5.3","5.3","5.1","5.1","5.1","5.1","",
"China","CHN","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8","49.5","48.5","48.9","48.1","45.4","46.2","",
"Cote d'Ivoire","CIV","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","22.1","23.3","23.3","23.3","23.3","23.3","23.3","",
"Cameroon","CMR","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","",
"Congo, Dem. Rep.","COD","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","12.8","12.6","12.6","12.6","12.6","12.6","",
"Congo, Rep.","COG","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","31.3","31.3","31.3","31.3","31.3","31.3","31.3","",
"Colombia","COL","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","32.3","32.7","33.4","33.9","33.9","28.8","28.8","28.8","30.1","18.6","18.6","18.6","18.6","23.6","",
