"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","1.4","1.4","1.4","1.4","1.4","1.4","1.4","",
"Botswana","BWA","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","1","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","",
"Central African Republic","CAF","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.2","195.7","195.7","195.7","195.7","195.7","34.8","47.7","53.6","53.6","53.6","53.6","53.6","53.6","53.6","",
"Canada","CAN","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.6","6.6","6.7","6.6","6.2","6.2","5.2","4.9","4.7","4.5","4.3","4.2","4","3.8","",
"Central Europe and the Baltics","CEB","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97272727272727","2.44545454545455","2.1","2.00909090909091","2.20909090909091","1.80909090909091","2.64545454545455","3.54545454545455","1.66363636363636","1.55454545454545","1.60909090909091","1.68181818181818","1.67272727272727","1.66363636363636","1.6","",
"Switzerland","CHE","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.1","2.1","1.9","2.1","2","2","2.1","1.8","1.8","1.8","1.8","1.8","1.8","1.8","",
"Channel Islands","CHI","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","2.7","2.7","2.7","2.6","2.6","2.6","2.6","2.6","2.6","2.6","",
"China","CHN","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","8.5","8.5","8.5","7","6.8","30.2","",
"Cote d'Ivoire","CIV","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6","21.6","21.5","21.5","21.5","21.3","21.2","15.5","21.6","19.7","19.7","19.1","17.9","17.9","17.9","",
