Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AZE_GDP (current US$),Azerbaijan,AZE,GDP (current US$),5272617196.045171,5707720390.8515,6235856819.58445,7276013031.96905,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706
AZE_GDP per capita (current US$),Azerbaijan,AZE,GDP per capita (current US$),655.097432602586,703.683843432722,763.080637985358,883.64399654717,1045.00937916805,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5842.805783585761,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4147.08971569171,4739.841710283929
AZE_Gross capital formation (% of GDP),Azerbaijan,AZE,Gross capital formation (% of GDP),20.6735762277188,20.676875611407898,34.5764948453608,53.1714825439026,57.990433987479804,41.534837292872794,29.8593848353266,21.525008374323395,18.6936308461975,18.9486398045026,18.0595784763923,20.267846856879498,22.316723202852604,25.657935443951697,27.5100357372221,27.913571165869797,25.6813382496045,24.378925698557502,20.1294761024821
"AZE_Unemployment, total (% of total labor force) (modeled ILO estimate)",Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.8000001907349,10.8999996185303,10.0,9.25,8.0,7.300000190734861,6.619999885559079,6.53999996185303,6.050000190734861,5.7399997711181605,5.630000114440921,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5.0,5.0,4.90000009536743
BDI_Exports of goods and services (current US$),Burundi,BDI,Exports of goods and services (current US$),55005758.53025657,45410971.277172334,38676369.5311261,50072047.440468505,63635537.87321403,69261008.83043765,92956376.47960927,92221558.65905124,169242773.91711265,117576040.95403352,197117152.22357053,196752242.71261638,226330906.44500786,223097905.27987143,205732033.51396257,177973982.1590237,196892749.28296512,236167733.24156806,285503118.5497624
BDI_GDP (current US$),Burundi,BDI,GDP (current US$),870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.0711398,2032135246.5000398,2235820867.8274302,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959640987.29943,3172292379.36329,3036931818.18182
BDI_GDP per capita (current US$),Burundi,BDI,GDP per capita (current US$),136.46397080033998,134.363447507999,123.117627963477,113.567366369381,128.336612834582,151.681463366485,167.376484505492,172.495859926837,198.35290055506303,212.136880390025,234.23564687499902,249.577979366801,252.35897985834401,256.976002796754,274.85794791384603,305.549772797441,282.193130404814,292.997630684415,271.752044376648
BDI_Gross capital formation (% of GDP),Burundi,BDI,Gross capital formation (% of GDP),2.78113770989619,4.46825856260011,3.94866019879363,7.868790037064019,10.3470971301176,18.2,18.512985724101103,15.1864583013854,13.408958689033101,18.9748730212835,17.160382431837498,16.3457475597031,16.3242740974684,14.6199291803279,14.199996224610802,12.177618579312698,9.190553676552721,8.80599839418581,11.1034382771399
"BDI_Unemployment, total (% of total labor force) (modeled ILO estimate)",Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.87600004673004,1.8730000257492099,1.91199994087219,1.91499996185303,1.8780000209808303,1.8320000171661397,1.73800003528595,1.6590000391006499,1.63399994373322,1.76400005817413,1.7599999904632602,1.7150000333786002,1.67799997329712,1.64400005340576,1.57200002670288,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363
BEL_Exports of goods and services (current US$),Belgium,BEL,Exports of goods and services (current US$),171360235857.74835,169391856823.26627,182148221343.87347,219109255079.00687,261315867891.73108,286413008332.2965,313301467820.8505,368272378866.6848,416715980665.00635,331329674909.6971,364802121084.4518,421761151361.30475,398952014299.41046,413789684188.16724,426678499805.66516,359576861976.5441,377878126013.2162,418211812445.41266,451227129596.5486
BEL_GDP (current US$),Belgium,BEL,GDP (current US$),236204532891.1,236541297539.15,257157820440.429,317381715575.62103,368537000248.324,385570948886.954,407918078032.86896,470324254037.77704,515223524241.98,481345929424.84,480951629493.03296,522645519183.591,496181260258.3,521642714407.84296,534678075827.361,462149679343.822,475739588764.759,502698069366.942,543734366831.215
BEL_GDP per capita (current US$),Belgium,BEL,GDP per capita (current US$),23041.534729042796,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.705942976696,44262.8960009954,48106.892915788,44583.544807081395,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.540360117804,40991.8081381432,41984.103033560896,44192.6230270333,47583.0749405066
BEL_Gross capital formation (% of GDP),Belgium,BEL,Gross capital formation (% of GDP),23.782961302210303,22.6338254993949,20.7474019774138,20.9647077064668,22.6670601715452,23.681063200076398,23.9705491132595,24.6032741505197,25.9367703303917,22.1732845983869,23.1267766903187,24.5069391580875,23.689925828905896,22.4281969049074,23.136187718562102,23.6279503740568,24.2522122937008,24.4581970291091,25.527160671335697
"BEL_Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.58599996566772,6.17700004577637,6.90899991989136,7.67999982833862,7.36299991607666,8.439999580383299,8.24600028991699,7.45800018310547,6.97599983215332,7.90799999237061,8.29199981689453,7.139999866485599,7.54199981689453,8.425000190734862,8.52299976348877,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363
BEN_Exports of goods and services (current US$),Benin,BEN,Exports of goods and services (current US$),723503459.0336769,727789558.5293286,823513903.2482903,995095866.2615985,1143984772.986085,1213458997.6152146,1269086284.2880387,1798312733.3251517,2158338688.7113667,1932930439.955585,2199999216.4420605,2229520361.4397964,2662421230.528336,3451240834.1695294,4175439095.280216,2815204773.5185237,3263416680.503845,3455561315.1626463,3889961780.1120386
BEN_GDP (current US$),Benin,BEN,GDP (current US$),3511248899.71759,3663017699.61605,4174634520.3548603,5337266687.57742,6179176459.36434,6565043459.50021,7027863025.13664,8158257571.77422,9748276762.24466,9699586794.44956,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.248999,11821066152.5979,12701656930.6889,14250985958.6727
BEN_GDP per capita (current US$),Benin,BEN,GDP per capita (current US$),511.40022696310996,517.614229562716,572.2287953679901,709.6905331557859,797.3126800146609,822.457830930625,855.2940392384911,964.926944015568,1120.88827324575,1084.39390022006,1036.5339516446902,1130.27313181143,1145.14081099947,1251.21051783537,1291.4098081857699,1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954
BEN_Gross capital formation (% of GDP),Benin,BEN,Gross capital formation (% of GDP),16.0084024479233,17.7527202441084,14.833722534597198,15.1637900420369,15.218605125504801,12.0860448916133,12.8734651192313,16.376867999454902,13.74042066105,14.865718730191698,15.608089212116,16.462557280626303,15.276312739883899,18.8618723474133,19.257585627792,20.7318663488996,20.272039604695397,23.960422228603395,26.3923207164798
"BEN_Unemployment, total (% of total labor force) (modeled ILO estimate)",Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.8299999833106991,0.7509999871253971,0.6899999976158139,0.734000027179718,0.7649999856948849,0.7910000085830692,0.7960000038146969,0.804000020027161,0.8339999914169308,0.967000007629395,1.03999996185303,2.64599990844727,2.66000008583069,2.6770000457763703,2.62100005149841,2.58200001716614,2.53699994087219,2.4590001106262203,2.3859999179840097
BFA_Exports of goods and services (current US$),Burkina Faso,BFA,Exports of goods and services (current US$),261515857.36325344,288539798.39095646,321134590.0582542,437119306.2772832,593230283.6131691,604914662.3363425,717391886.9978808,789151176.7767273,959257187.2197341,1303153901.7983284,2074074146.5696054,3164494170.1683593,3340989789.3728886,3640311463.7063866,3755133897.1596007,3089098202.8941646,3325889934.2159333,3731626622.064309,4517544324.790947
BFA_GDP (current US$),Burkina Faso,BFA,GDP (current US$),2956746304.20757,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.549391,9451436358.968609,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239
BFA_GDP per capita (current US$),Burkina Faso,BFA,GDP per capita (current US$),254.71752910271,267.097644351809,294.665316636646,374.627446782463,418.376885033166,457.933601354882,473.44976545959196,535.0625797947811,643.4045810230359,624.175164544582,647.835846453449,751.172957247699,758.000701423857,787.4701762975501,792.846778432074,653.32697954543,688.249662758849,734.994429826895,813.096848960038
BFA_Gross capital formation (% of GDP),Burkina Faso,BFA,Gross capital formation (% of GDP),14.5706990626075,13.5458978685006,13.451684877729399,15.4592813585183,15.5181038099984,17.5635935306702,16.1250056320714,18.2510847811436,20.731962445980102,19.9900322638267,21.9904340000138,22.123511804334303,24.6529928973207,23.7099150061433,19.262249193164802,19.4066997164243,20.7955479484027,22.061836590264896,22.7264296303201
"BFA_Unemployment, total (% of total labor force) (modeled ILO estimate)",Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.5699999332428,2.6259999275207497,2.7170000076293905,2.77999997138977,3.37299990653992,4.0,3.63499999046326,3.29999995231628,3.60599994659424,4.24399995803833,4.71700000762939,5.14300012588501,5.60099983215332,6.08699989318848,6.479000091552731,6.4180002212524405,6.343999862670901,6.21600008010864,6.093999862670901
BGD_Exports of goods and services (current US$),Bangladesh,BGD,Exports of goods and services (current US$),6588073941.562311,7227575982.209045,6791241511.405168,6876856649.39553,7257329709.529449,9994813008.130116,11744907683.144743,13530306979.438206,16181037749.599197,17359874074.16012,18472449276.053524,25627346571.28462,26886637936.48198,29304945498.30925,32830360072.310387,33820154152.847847,36864997680.89944,37546818877.679344,40560411465.979294
BGD_GDP (current US$),Bangladesh,BGD,GDP (current US$),53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249711027660.25302,274039092455.30603
BGD_GDP per capita (current US$),Bangladesh,BGD,GDP per capita (current US$),418.068968311378,415.03442662014703,413.080254575162,446.310659190362,475.29191978693495,499.46194023915604,509.640142873216,558.051860266708,634.987056467494,702.264410019296,781.153593557047,861.758444349051,883.1050005413131,981.839879150399,1118.8536634927,1248.45339778371,1401.6206282151502,1563.9136986248498,1698.3503942812197
BGD_Gross capital formation (% of GDP),Bangladesh,BGD,Gross capital formation (% of GDP),23.808562573136896,24.174306730693303,24.341416136672898,24.679188861283397,24.9918339447004,25.830435514586302,26.1441457474299,26.1784970672047,26.202271400399102,26.206057015753604,26.2466561760577,27.420973368603395,28.2623350089151,28.389620754356898,28.577875711556302,28.886689247008,29.6525653284138,30.5104546214646,31.234924044846803
"BGD_Unemployment, total (% of total labor force) (modeled ILO estimate)",Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.2699999809265097,3.5859999656677206,3.96399998664856,4.32000017166138,4.2930002212524405,4.25,3.5910000801086404,3.88800001144409,4.26700019836426,5.0,3.37899994850159,3.70499992370605,4.05499982833862,4.42600011825562,4.394999980926509,4.37799978256226,4.349999904632569,4.37200021743774,4.281000137329101
BGR_Exports of goods and services (current US$),Bulgaria,BGR,Exports of goods and services (current US$),4797489756.511088,4947390946.125337,5519115551.275876,7277457147.803994,10713394070.217752,12703276793.088116,16150904893.221336,23262813855.843224,28590551192.880116,21963725741.096203,25395582780.56041,33916506221.11623,32772597897.5033,36043133821.93271,36875485008.81831,32398958286.102905,34460613687.7828,39675532699.51019,43591843693.42181
BGR_GDP (current US$),Bulgaria,BGR,GDP (current US$),13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50381825504.2642,57386216850.3377,54033250328.5151,55615397665.5809,56901994980.3283,50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5775
BGR_GDP per capita (current US$),Bulgaria,BGR,GDP per capita (current US$),1621.2429608024697,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.9076377401702,4523.0508329806,5885.10434781837,7265.7354968299705,6988.23332468094,6812.4063384540195,7809.425062454709,7395.849803407209,7655.129707593191,7876.86646539994,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881
