Pays_indic,Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
AUS_Exports of goods and services (% of GDP),Australia,AUS,Exports of goods and services (% of GDP),17.9168848710084,18.939194350254603,19.1748110450196,19.595576920133897,18.3438927598724,19.4346594389549,22.2257207126709,20.77459420115,19.0950858969237,17.2032857977397,18.2651015697588,19.8939212990376,20.2036088949588,20.161673233880897,23.004812938193602,19.810007754315,21.4364170540906,21.4808284059974,19.9561676149363,21.0394549992806,19.984845509758998,19.2510570754507,21.2057506620343,21.8219046176483,exports_rate
"AUS_Exports of goods and services, PPP (constant 2017 international $)",Australia,AUS,"Exports of goods and services, PPP (constant 2017 international $)",107533684716.11124,118078153086.93231,124289008910.37279,132829510658.86601,130653674927.8785,143866970065.42044,167704877338.73248,163027771630.79868,154322259305.2857,144671572072.87793,158522733833.9825,177484279638.56714,187176284079.70776,193620381116.38516,225203443766.53946,197937504949.67764,219463185336.87543,228534602896.72437,217801824582.31192,235441494921.12073,228543548621.62445,226251707424.24484,254958303316.08777,270104301695.3363,exports
"AUS_Exports of goods and services, PPP (constant 2017 international $) per capita",Australia,AUS,"_Exports of goods and services, PPP (constant 2017 international $) per capita",5950.292425636965,6448.4819554875385,6712.156878024129,7099.006501997008,6903.3961179265825,7511.458782719179,8638.792424598592,8295.987646213434,7756.680403776034,7187.792366270752,7772.703524132745,8574.989715795668,8986.934840294021,9111.890382526644,10382.009882422284,8984.193491196915,9823.766766628158,10052.783546050916,9417.183058011822,10029.16357464999,9596.22088523383,9352.75834941802,10363.37509912209,10811.658925386104,exports_hab
"AUS_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Australia,AUS,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",11913.18097024136,12897.533033725951,13477.468127563945,14247.15277479591,13874.120499785442,14980.978958963045,17130.07892464358,16389.719709221376,15238.193441973885,14117.437228769275,15015.309520034845,16428.078641334683,17056.166738566888,17185.907008501083,19576.655540064417,16914.160361632763,18488.265886896133,18993.55570990522,17842.781879578935,19063.557656460478,18159.218180613832,17756.02901311243,19628.67583514911,20378.36626767424,exports_labor_unit
"AUS_GDP per capita, PPP (constant 2017 international $)",Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",33210.5300027084,34048.3435368561,35005.074429495,36227.5963138548,37633.2123627973,38649.8091531421,38868.4467706535,39933.3318662571,40621.3433427166,41781.508781393,42554.942793211,43103.5670992148,44481.8293950268,45194.117952544104,45129.729636643206,45351.7918953868,45827.4661378334,46798.863414616906,47189.336348144505,47668.362013146,48017.488454178,48583.089815596904,48870.58828658269,49544.982964696,gdb_hab
"AUS_GDP, PPP (constant 2017 international $)",Australia,AUS,"GDP, PPP (constant 2017 international $)",600180698208.946,623459218503.3729,648188963210.958,677854554628.537,712246177178.302,740259794710.13,754553157158.6959,784745877836.565,808177874340.6841,840953139846.61,867899547278.98,892153321462.8391,926449749907.859,960338851197.2,978940556359.173,999179341091.187,1023786693378.39,1063900323475.97,1091401058484.28,1119047498754.94,1143584264937.26,1175269007501.75,1202307371144.15,1237766851372.32,gdp
AUS_Gross capital formation (% of GDP),Australia,AUS,Gross capital formation (% of GDP),26.0470269953313,24.851260142646197,24.9166653160235,25.690999954089197,26.2143609275955,26.3080439047188,23.479787707817398,24.493107750317197,26.0162804634439,27.171939946971,27.5588673104423,27.604447878927804,27.571408982019896,28.664594716952895,27.396053628749105,26.8511409755989,26.5072122273973,27.7425576441621,27.8957916614323,26.7456350522042,26.2706966202778,25.37197855862,24.0567962137371,24.528660146276003,FBCF
"AUS_Labor force, total",Australia,AUS,"Labor force, total",9026446.0,9155096.0,9221985.0,9323232.0,9417078.0,9603309.0,9790082.0,9946953.0,10127333.0,10247722.0,10557407.0,10803715.0,10974112.0,11266230.0,11503673.0,11702473.0,11870404.0,12032218.0,12206719.0,12350344.0,12585539.0,12742247.0,12989073.0,13254463.0,labor_force
"AUS_Population, total",Australia,AUS,"Population, total",18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,24982688.0,pop
"AUS_Unemployment, total (% of total labor force) (modeled ILO estimate)",Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.4689998626709,8.50599956512451,8.36200046539307,7.67600011825562,6.872000217437741,6.28299999237061,6.74200010299683,6.368000030517581,5.92899990081787,5.39499998092651,5.032000064849849,4.782000064849849,4.3769998550414995,4.23400020599365,5.56099987030029,5.21099996566772,5.080999851226809,5.223999977111821,5.662000179290769,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,unemployment rate
AUT_Exports of goods and services (% of GDP),Austria,AUT,Exports of goods and services (% of GDP),33.5331403455378,34.249276107357396,37.028082738495705,38.351021186462,39.3570378852981,43.34627395198871,44.6175555179483,45.31938619858,44.570414719140004,46.8672149740213,48.61975220469321,50.8416688618235,52.560869422371,53.2488606164087,45.207416560843704,51.2621603273359,53.94867085163939,53.9736761965302,53.4412932967224,53.386579046242396,53.089060558795794,52.4063936498056,54.0537009052279,55.690950654202005,exports_rate
