Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
"HUN_Exports of goods and services, PPP (constant 2017 international $)",Hungary,HUN,"Exports of goods and services, PPP (constant 2017 international $)",155815975791.11624,191146749783.3451,202175635600.79575,207810614271.401,181962582727.32315,200987501466.39066,217289934692.35785,214084414976.00192,216743255056.70154,230415312677.31293,240055809712.98126,242119756815.4898,251145574870.15002,258203153911.25165,exports
"HUN_Exports of goods and services, PPP (constant 2017 international $) per capita",Hungary,HUN,"_Exports of goods and services, PPP (constant 2017 international $) per capita",15447.107339064063,18979.2202831735,20105.415552129794,20702.00461192807,18155.136887681718,20098.70391962005,21790.602038378893,21580.30271234073,21908.567527965657,23353.373535221817,24388.410732244312,24670.79573947298,25658.607198896076,26413.120911617134,exports_hab
"HUN_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Hungary,HUN,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",36461.99865004195,44404.3730475264,47156.48196392298,48796.47327799302,42728.554420561064,46744.86680754352,50340.60476215866,48992.281718118466,49229.72224412332,50893.58528931057,51992.205086033864,51671.06439159455,53272.588616190704,54566.750976674084,exports_labor_unit
"HUN_Foreign direct investment, net inflows (% of GDP)",Hungary,HUN,"Foreign direct investment, net inflows (% of GDP)",24.3312618248781,16.161241914296802,50.463181256253904,47.4955847375587,-2.1352657145714,-15.7450188061326,7.57688175758872,8.418670069120049,-2.64866369148927,9.277947577213581,-4.2106475139699,54.239060139931404,-8.4873305240623,-40.4142518418943,IDE
"HUN_GDP per capita, PPP (constant 2017 international $)",Hungary,HUN,"GDP per capita, PPP (constant 2017 international $)",24659.118949632797,25693.1085777929,25795.262265750698,26113.9355589195,24402.190188637596,24731.860575607203,25282.482522305298,25062.5253327857,25599.2721094702,26753.824856664,27841.812484294504,28521.672481781603,29832.0971718636,31484.5027077302,gdb_hab
"HUN_GDP, PPP (constant 2017 international $)",Hungary,HUN,"GDP, PPP (constant 2017 international $)",248738135687.678,258764802937.126,259391482386.691,262136594560.31897,244574611494.148,247319174588.865,252110013594.7,248629323935.404,253255698119.302,263965756825.88,274047739853.661,279912349734.672,291995552826.897,307778771227.59,gdp
HUN_Gross capital formation (% of GDP),Hungary,HUN,Gross capital formation (% of GDP),25.3177432988219,25.789611322019,24.2778779605086,24.6247313066493,20.263332469583002,20.4812354659482,20.2916049930142,19.2858666745965,20.9234714561327,23.405055705212998,23.2082129498625,21.1578598028454,22.804187653233498,26.617641559431895,FBCF
"HUN_Labor force, total",Hungary,HUN,"Labor force, total",4273380.0,4304683.0,4287335.0,4258722.0,4258571.0,4299670.0,4316395.0,4369758.0,4402691.0,4527394.0,4617150.0,4685790.0,4714349.0,4731877.0,labor_force
HUN_Labor tax and contributions (% of commercial profits),Hungary,HUN,Labor tax and contributions (% of commercial profits),40.2,40.1,39.4,39.4,39.4,37.1,34.7,34.9,34.3,34.3,34.3,34.3,34.3,29.0,labor_tax_contrib
HUN_Other taxes payable by businesses (% of commercial profits),Hungary,HUN,Other taxes payable by businesses (% of commercial profits),7.4,7.6,7.7,7.7,7.7,1.8,3.2,3.3,3.2,1.7,2.1,2.1,2.1,2.1,other_taxes_entreprise
"HUN_Population, total",Hungary,HUN,"Population, total",10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,pop
HUN_Profit tax (% of commercial profits),Hungary,HUN,Profit tax (% of commercial profits),5.9,5.2,8.1,9.3,9.3,15.6,14.0,11.5,11.7,11.8,11.8,9.9,9.9,9.1,profit_tax
HUN_Research and development expenditure (% of GDP),Hungary,HUN,Research and development expenditure (% of GDP),0.92094,0.9809700000000001,0.9567399999999999,0.9796,1.13212,1.13945,1.18897,1.26362,1.38884,1.3537299999999999,1.36245,1.20423,1.3486,1.55484,RetD
HUN_Total tax and contribution rate (% of profit),Hungary,HUN,Total tax and contribution rate (% of profit),53.6,52.9,55.2,56.4,56.4,54.5,51.8,49.7,49.2,47.9,48.2,46.3,46.4,40.3,total_tax_contrib
"HUN_Unemployment, total (% of total labor force) (modeled ILO estimate)",Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.18900012969971,7.49399995803833,7.406000137329099,7.81699991226196,10.0299997329712,11.171999931335401,11.0290002822876,11.0030002593994,10.1759996414185,7.724999904632571,6.8130002021789595,5.11499977111816,4.156000137329101,3.70799994468689,unemployment rate
ISR_Exports of goods and services (% of GDP),Israel,ISR,Exports of goods and services (% of GDP),40.7731387957427,40.7909357591928,40.4669730305224,38.475837456259704,33.1995595615722,34.7640433590299,35.3836165531009,36.0497188176789,33.789986907802,32.3243459672843,31.550377044485803,29.9925456857382,28.7945802459308,29.7916530077532,exports_rate
"ISR_Exports of goods and services, PPP (constant 2017 international $)",Israel,ISR,"Exports of goods and services, PPP (constant 2017 international $)",88577254652.11208,93546892757.80815,98161960059.8273,96128679931.5008,83712980471.0274,92567676342.92604,98724328762.26337,102853223524.39957,100404970071.98393,99659651366.07,99501067622.81119,98354645263.56029,97765726362.55913,104644526867.99416,exports
"ISR_Exports of goods and services, PPP (constant 2017 international $) per capita",Israel,ISR,"_Exports of goods and services, PPP (constant 2017 international $) per capita",12781.526190403036,13262.102550123785,13671.39177167829,13152.457302361645,11183.202478228519,12142.252524125877,12712.705550266986,13002.114091953677,12457.965143245106,12130.39075989508,11873.494066038733,11508.851540318312,11220.286959310379,11780.578969243274,exports_hab
"ISR_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Israel,ISR,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",28707.771449535267,29503.35972832926,30096.99773719839,28895.21259043616,24539.747485293796,26484.539428084972,27861.115034172497,28237.319898189482,27026.138708285558,26179.58992680407,25664.984907554473,24863.181923300715,24290.641361726524,25505.50008457451,exports_labor_unit
"ISR_Foreign direct investment, net inflows (% of GDP)",Israel,ISR,"Foreign direct investment, net inflows (% of GDP)",3.38064747921386,9.34564473409966,4.91626055364343,4.75425934417857,2.2205333870943997,2.98496968695364,3.30938356089738,3.5062193190491597,4.04673155766651,1.95404128310422,3.7810886852007504,3.75857579071779,4.78197794163804,5.80550404437449,IDE
"ISR_GDP per capita, PPP (constant 2017 international $)",Israel,ISR,"GDP per capita, PPP (constant 2017 international $)",31347.9083727977,32512.3763485494,33784.0731535976,34183.6803872396,33684.7916837211,34927.618743094,35928.2255141692,36067.1720012901,36868.8072512055,37527.1034785123,37633.4458675317,38372.3731253359,38966.6626965191,39543.2202643385,gdb_hab
"ISR_GDP, PPP (constant 2017 international $)",Israel,ISR,"GDP, PPP (constant 2017 international $)",217244139814.325,229332549049.763,242573023650.14603,249841683214.257,252150876627.663,266274194249.852,279011413697.935,285309364116.205,297144152041.091,308311424048.413,315372039714.503,327930300729.12103,339528222073.58,351254516964.06604,gdp
ISR_Gross capital formation (% of GDP),Israel,ISR,Gross capital formation (% of GDP),20.6637970681378,20.6223743895696,21.482948684330502,20.3343224965726,18.4730926708332,18.881958273128603,20.917211688798197,21.3129700406893,20.079214360005697,20.5940641230436,19.946508113081396,21.0990931695516,21.477828638389,21.706630075700197,FBCF
"ISR_Labor force, total",Israel,ISR,"Labor force, total",3085480.0,3170720.0,3261520.0,3326803.0,3411322.0,3495159.0,3543445.0,3642457.0,3715106.0,3806769.0,3876919.0,3955835.0,4024831.0,4102822.0,labor_force
ISR_Labor tax and contributions (% of commercial profits),Israel,ISR,Labor tax and contributions (% of commercial profits),6.7,6.7,5.9,5.3,5.3,5.3,5.3,4.8,5.2,5.5,5.6,5.8,5.9,5.8,labor_tax_contrib
ISR_Other taxes payable by businesses (% of commercial profits),Israel,ISR,Other taxes payable by businesses (% of commercial profits),1.5,1.5,2.4,1.5,1.7,1.8,1.8,1.8,1.3,1.4,1.4,1.4,1.5,1.5,other_taxes_entreprise
"ISR_Population, total",Israel,ISR,"Population, total",6930100.0,7053700.0,7180100.0,7308800.0,7485600.0,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8882800.0,pop
ISR_Profit tax (% of commercial profits),Israel,ISR,Profit tax (% of commercial profits),27.3,26.6,24.6,23.2,21.3,20.5,19.7,19.0,19.8,19.7,20.9,20.8,19.6,18.8,profit_tax
ISR_Research and development expenditure (% of GDP),Israel,ISR,Research and development expenditure (% of GDP),4.0515300000000005,4.14236,4.42769,4.3451699999999995,4.13326,3.9398400000000002,4.0115099999999995,4.15735,4.09218,4.16793,4.25592,4.50574,4.81602,4.952780000000001,RetD
ISR_Total tax and contribution rate (% of profit),Israel,ISR,Total tax and contribution rate (% of profit),35.5,34.8,32.9,30.1,28.3,27.5,26.8,25.6,26.4,26.7,27.9,28.1,27.0,26.2,total_tax_contrib
"ISR_Unemployment, total (% of total labor force) (modeled ILO estimate)",Israel,ISR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.3420000076294,10.7069997787476,9.37899971008301,7.7039999961853,9.53400039672852,8.47999954223633,7.13899993896484,6.85699987411499,6.20800018310547,5.889999866485599,5.25099992752075,4.7979998588562,4.21500015258789,3.99799990653992,unemployment rate
ITA_Exports of goods and services (% of GDP),Italy,ITA,Exports of goods and services (% of GDP),24.601092381788202,26.1734884330826,27.361042253231602,26.862774694794396,22.399161733996397,25.0740498513169,26.872463466087602,28.3792428359574,28.6332430796987,29.108828186409102,29.715982372361196,29.3278907466434,30.733733319636002,31.3693961553374,exports_rate
"ITA_Exports of goods and services, PPP (constant 2017 international $)",Italy,ITA,"Exports of goods and services, PPP (constant 2017 international $)",634298478383.9669,686924064711.4053,728769997760.5469,708615296757.5585,559665854796.2448,637234466717.9436,687770193275.2703,704683153530.1378,697900421996.5323,709459965204.0344,729894866965.0808,729680037405.1763,777410911315.5197,800981281824.3492,exports
"ITA_Exports of goods and services, PPP (constant 2017 international $) per capita",Italy,ITA,"_Exports of goods and services, PPP (constant 2017 international $) per capita",10941.937630218805,11814.19085046459,12470.757586257147,12045.804427880897,9470.55415930242,10750.037686661408,11582.63009943508,11835.513990268677,11586.49640559062,11670.834053648965,12018.571911019737,12035.46346915349,12841.975128108132,13256.503647433461,exports_hab
"ITA_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Italy,ITA,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",26041.679036827816,28156.06087314035,29892.182226952893,28678.932510998755,22836.545189790115,26051.526851610386,28099.251005875452,28147.661582410045,27725.490635274564,27748.77230485878,28576.378806861463,28268.439885584892,29916.62412050033,30766.426960422206,exports_labor_unit
"ITA_Foreign direct investment, net inflows (% of GDP)",Italy,ITA,"Foreign direct investment, net inflows (% of GDP)",1.9790897389448798,2.9259668581453697,2.98492308508201,-0.39608783681454907,0.757889694945498,0.46534294089119205,1.50373544840568,0.0016722446020187801,0.912122176152343,0.788869272224896,0.724627962134635,1.36777366921975,0.567766926666821,2.11564734534694,IDE
"ITA_GDP per capita, PPP (constant 2017 international $)",Italy,ITA,"GDP per capita, PPP (constant 2017 international $)",44477.4462060837,45138.006271765305,45578.5180653498,44841.9962745517,42280.8418983308,42873.1606996339,43102.226612205,41704.8265123998,40465.1906643631,40093.7955279769,40444.8076473426,41037.6033282618,41784.6247136637,42259.3523375104,gdb_hab
"ITA_GDP, PPP (constant 2017 international $)",Italy,ITA,"GDP, PPP (constant 2017 international $)",2578334606204.43,2624503288767.39,2663531568043.51,2637908052346.05,2498601784489.15,2541410224900.21,2559386466905.87,2483093568082.38,2437378190287.33,2437267349481.56,2456236707301.17,2488007213708.98,2529503666965.27,2553384444692.49,gdp
ITA_Gross capital formation (% of GDP),Italy,ITA,Gross capital formation (% of GDP),21.1693711309581,21.9576156633778,22.246045706824898,21.778514420900397,19.508755681307,20.5797951615344,20.4680887248433,17.7895128705255,16.892393762138,16.959201811767098,17.1072670212734,17.5610283085114,18.0540711674032,18.5191143104952,FBCF
"ITA_Labor force, total",Italy,ITA,"Labor force, total",24357050.0,24397023.0,24379953.0,24708566.0,24507466.0,24460542.0,24476460.0,25035229.0,25171797.0,25567256.0,25541895.0,25812533.0,25985917.0,26034264.0,labor_force
ITA_Labor tax and contributions (% of commercial profits),Italy,ITA,Labor tax and contributions (% of commercial profits),45.1,43.2,43.2,43.2,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,23.2,34.8,labor_tax_contrib
ITA_Other taxes payable by businesses (% of commercial profits),Italy,ITA,Other taxes payable by businesses (% of commercial profits),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.8,1.8,1.9,1.6,1.6,1.6,other_taxes_entreprise
"ITA_Population, total",Italy,ITA,"Population, total",57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,pop
ITA_Profit tax (% of commercial profits),Italy,ITA,Profit tax (% of commercial profits),30.6,31.3,31.3,28.4,23.2,23.2,23.2,23.2,20.4,19.9,19.5,17.0,23.3,16.8,profit_tax
ITA_Research and development expenditure (% of GDP),Italy,ITA,Research and development expenditure (% of GDP),1.0470899999999999,1.08696,1.1327,1.16367,1.22126,1.2231100000000001,1.20984,1.2708700000000002,1.30768,1.34301,1.34115,1.37124,1.37744,1.39909,RetD
ITA_Total tax and contribution rate (% of profit),Italy,ITA,Total tax and contribution rate (% of profit),76.7,75.3,75.3,72.5,67.6,67.6,67.6,67.6,65.6,65.2,64.8,62.0,48.0,53.1,total_tax_contrib
"ITA_Unemployment, total (% of total labor force) (modeled ILO estimate)",Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.730999946594241,6.77699995040894,6.074999809265139,6.72300004959106,7.749000072479251,8.36299991607666,8.35900020599365,10.6549997329712,12.1490001678467,12.6829996109009,11.895999908447301,11.687999725341802,11.211000442504899,10.6099996566772,unemployment rate
KAZ_Exports of goods and services (% of GDP),Kazakhstan,KAZ,Exports of goods and services (% of GDP),53.194358254068,50.975297842183295,49.3128208903582,57.1463849391331,41.8384224460915,44.2441794984735,46.4646627947552,44.1096630384291,38.6170377152797,39.3417580907293,28.516708007235398,31.843888642283602,32.3977566148879,37.625225542778395,exports_rate
"KAZ_Exports of goods and services, PPP (constant 2017 international $)",Kazakhstan,KAZ,"Exports of goods and services, PPP (constant 2017 international $)",133236709650.37051,141340205375.3466,148899648462.1304,178247279274.78152,132065676556.83879,149854754793.76163,169021305911.32394,168156510279.2095,156050357298.08582,165656046978.09344,121515990508.78293,137186474237.91937,145295065855.05258,175657124511.2694,exports
"KAZ_Exports of goods and services, PPP (constant 2017 international $) per capita",Kazakhstan,KAZ,"_Exports of goods and services, PPP (constant 2017 international $) per capita",8796.227276673895,9233.043493578072,9616.236253214272,11372.162771135736,8206.49582508517,9181.223501431798,10208.326027528683,10014.031624011135,9160.277026458542,9581.982653461198,6926.8274704048445,7709.6802408399535,8055.043252286345,9611.092874888995,exports_hab
"KAZ_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Kazakhstan,KAZ,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",16755.591411323774,17482.564510043194,18093.26088990017,21260.808351824042,15404.002530696607,17182.313269526116,19188.00752112815,18908.49422126495,17392.371481266695,18280.804870991054,13329.390675676397,15124.251497654614,16137.172384290167,19450.811155207237,exports_labor_unit
"KAZ_Foreign direct investment, net inflows (% of GDP)",Kazakhstan,KAZ,"Foreign direct investment, net inflows (% of GDP)",4.457111443852179,9.39605364941883,11.419032820396302,12.603932459159601,12.380586215739,5.03630628288047,7.14350878983557,6.5616482114597305,4.2306980098169,3.3006317266621803,3.56737349139873,12.5445609600719,2.8252203782459104,0.0465089087481511,IDE
"KAZ_GDP per capita, PPP (constant 2017 international $)",Kazakhstan,KAZ,"GDP per capita, PPP (constant 2017 international $)",16536.0154072377,18112.779884412,19500.4789415616,19900.0562909593,19614.7353205278,20751.2572399462,21970.0852508521,22702.5801926592,23720.817464033702,24355.7561188887,24290.4176339265,24210.8629616382,24862.9661245889,25544.279765078198,gdb_hab
"KAZ_GDP, PPP (constant 2017 international $)",Kazakhstan,KAZ,"GDP, PPP (constant 2017 international $)",250471504917.876,277271955944.089,301949160023.096,311913482304.495,315656444090.368,338699364509.476,363763117485.49396,381223747124.771,404097171949.419,421069253173.84204,426122084210.952,430809427136.85297,448472613650.923,466859990810.03296,gdp
KAZ_Gross capital formation (% of GDP),Kazakhstan,KAZ,Gross capital formation (% of GDP),30.9697680425121,33.9007913190431,35.5266994941709,27.5064843034904,29.4145645191248,25.373549020176803,22.998146018401197,25.2296602336096,24.5696053585629,25.7902472414133,27.907915602741298,27.8275828886455,26.3524843657161,25.258212709599,FBCF
"KAZ_Labor force, total",Kazakhstan,KAZ,"Labor force, total",7951776.0,8084638.0,8229564.0,8383843.0,8573465.0,8721454.0,8808695.0,8893173.0,8972345.0,9061748.0,9116395.0,9070629.0,9003750.0,9030838.0,labor_force
KAZ_Labor tax and contributions (% of commercial profits),Kazakhstan,KAZ,Labor tax and contributions (% of commercial profits),17.8,17.8,17.8,17.9,9.6,11.5,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.3,labor_tax_contrib
KAZ_Other taxes payable by businesses (% of commercial profits),Kazakhstan,KAZ,Other taxes payable by businesses (% of commercial profits),2.6,2.6,2.5,2.5,2.5,1.6,1.6,1.6,1.5,1.5,1.8,1.8,1.9,1.9,other_taxes_entreprise
"KAZ_Population, total",Kazakhstan,KAZ,"Population, total",15147029.0,15308084.0,15484192.0,15674000.0,16092822.0,16321872.0,16557201.0,16792089.0,17035550.0,17288285.0,17542806.0,17794055.0,18037776.0,18276498.5,pop
KAZ_Profit tax (% of commercial profits),Kazakhstan,KAZ,Profit tax (% of commercial profits),24.7,24.7,21.6,21.5,24.1,16.7,16.3,16.3,16.3,16.3,16.2,16.2,16.2,16.2,profit_tax
KAZ_Research and development expenditure (% of GDP),Kazakhstan,KAZ,Research and development expenditure (% of GDP),0.28361,0.24281,0.20884,0.21654,0.22924,0.15341,0.15349000000000002,0.16525,0.17132,0.16722,0.16951,0.14179,0.12972,0.12286,RetD
KAZ_Total tax and contribution rate (% of profit),Kazakhstan,KAZ,Total tax and contribution rate (% of profit),45.0,45.0,41.9,42.0,36.2,29.8,29.0,29.0,28.9,28.9,29.2,29.2,29.2,29.4,total_tax_contrib
"KAZ_Unemployment, total (% of total labor force) (modeled ILO estimate)",Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.13000011444092,7.78999996185303,7.2600002288818395,6.630000114440921,6.550000190734861,5.76999998092651,5.389999866485599,5.28999996185303,5.199999809265139,5.05999994277954,4.92999982833862,4.96000003814697,4.90000009536743,4.824999809265139,unemployment rate
KOR_Exports of goods and services (% of GDP),"Korea, Rep.",KOR,Exports of goods and services (% of GDP),35.2830827957409,35.626418616121796,37.392179690512705,47.64188520957721,45.18535191131989,47.1037369107414,53.33773190033361,54.094051335195296,51.292071109702704,47.831420866297904,42.989561527711004,40.1326509111205,40.934206940988396,41.713290843089396,exports_rate
"KOR_Exports of goods and services, PPP (constant 2017 international $)","Korea, Rep.",KOR,"Exports of goods and services, PPP (constant 2017 international $)",487439522576.84674,518092850316.3861,575307490427.744,755092499143.1079,721835042210.1206,803686230387.652,943592408280.2695,979963936723.8208,958610047132.3872,922560904110.2653,852464595395.789,819264957375.0797,862030659287.542,903977053994.6791,exports
"KOR_Exports of goods and services, PPP (constant 2017 international $) per capita","Korea, Rep.",KOR,"_Exports of goods and services, PPP (constant 2017 international $) per capita",10116.093463564952,10695.935569247284,11817.265801453541,15392.865026188882,14639.35786696213,16218.356014282972,18895.793671177253,19521.251122464855,19009.14317378308,18179.73680021507,16710.09469824185,15995.706754057368,16783.461567221322,17516.68344638332,exports_hab
"KOR_Exports of goods and services, PPP (constant 2017 international $) per labor unit","Korea, Rep.",KOR,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",20075.451985457174,21127.963795133248,23222.382291855974,30293.340383385985,28958.221477441108,31815.77863168874,36738.667465828774,37568.86373980215,36279.07616306079,33949.440499014825,30970.19857956193,29456.645548698692,30665.207475212384,31973.483335032113,exports_labor_unit
"KOR_Foreign direct investment, net inflows (% of GDP)","Korea, Rep.",KOR,"Foreign direct investment, net inflows (% of GDP)",1.45932018032106,0.869896781374133,0.7527540476719259,1.06818326165412,0.9557685941575201,0.830143714297898,0.7798292603366078,0.742779625917828,0.93132803501368,0.624771688262979,0.279995559508797,0.806893302496192,1.10307799056185,0.7063008938081411,IDE
"KOR_GDP per capita, PPP (constant 2017 international $)","Korea, Rep.",KOR,"GDP per capita, PPP (constant 2017 international $)",28671.2289913229,30022.483271465,31603.5756654535,32309.5212510493,32398.4593407464,34431.1451234023,35426.691383289,36087.611559173,37060.588045132004,38007.9380268307,38870.1212676257,39857.0899028877,41001.0668862273,41993.050877416696,gdb_hab
"KOR_GDP, PPP (constant 2017 international $)","Korea, Rep.",KOR,"GDP, PPP (constant 2017 international $)",1381510582277.37,1454237811268.34,1538577037202.55,1584934130590.02,1597497887427.73,1706204821733.33,1769089863145.02,1811592795391.58,1868924429045.04,1928775870340.71,1982957176351.5,2041392578799.39,2105893148315.45,2167119965181.17,gdp
KOR_Gross capital formation (% of GDP),"Korea, Rep.",KOR,Gross capital formation (% of GDP),32.5081847804131,32.9933079853202,33.0974830502206,33.6668294033225,29.3999897291047,32.5521135765371,33.3194258170924,31.3166467538553,29.885327285613602,29.790478632777198,29.5292808218765,30.142678602161897,32.2880634736146,31.487184177200998,FBCF
"KOR_Labor force, total","Korea, Rep.",KOR,"Labor force, total",24280376.0,24521665.0,24773836.0,24926023.0,24926774.0,25260618.0,25683904.0,26084471.0,26423221.0,27174554.0,27525319.0,27812568.0,28111033.0,28272711.0,labor_force
KOR_Labor tax and contributions (% of commercial profits),"Korea, Rep.",KOR,Labor tax and contributions (% of commercial profits),12.2,12.2,11.4,13.4,13.2,12.9,13.2,13.4,13.6,13.6,13.6,13.6,13.5,13.5,labor_tax_contrib
KOR_Other taxes payable by businesses (% of commercial profits),"Korea, Rep.",KOR,Other taxes payable by businesses (% of commercial profits),1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.4,1.4,1.4,1.4,1.4,1.4,1.4,other_taxes_entreprise
"KOR_Population, total","Korea, Rep.",KOR,"Population, total",48184561.0,48438292.0,48683638.0,49054708.0,49307835.0,49554112.0,49936638.0,50199853.0,50428893.0,50746659.0,51014947.0,51217803.0,51361911.0,51606633.0,pop
KOR_Profit tax (% of commercial profits),"Korea, Rep.",KOR,Profit tax (% of commercial profits),22.8,18.5,18.6,18.8,17.4,15.6,19.2,19.2,18.4,18.2,18.2,18.2,18.2,18.2,profit_tax
KOR_Research and development expenditure (% of GDP),"Korea, Rep.",KOR,Research and development expenditure (% of GDP),2.62617,2.83066,3.00035,3.12343,3.29324,3.4659400000000002,3.74361,4.02554,4.14853,4.28874,4.21702,4.2274400000000005,4.55324,4.81009,RetD
KOR_Total tax and contribution rate (% of profit),"Korea, Rep.",KOR,Total tax and contribution rate (% of profit),36.8,32.5,31.6,33.9,32.3,30.2,34.1,34.0,33.4,33.2,33.2,33.1,33.1,33.1,total_tax_contrib
"KOR_Unemployment, total (% of total labor force) (modeled ILO estimate)","Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.70000004768372,3.5,3.20000004768372,3.20000004768372,3.5999999046325697,3.70000004768372,3.4000000953674303,3.20000004768372,3.0999999046325697,3.5,3.5999999046325697,3.70000004768372,3.70000004768372,3.8480000495910605,unemployment rate
KWT_Exports of goods and services (% of GDP),Kuwait,KWT,Exports of goods and services (% of GDP),63.9760608989031,65.5457337246984,63.4150383970829,66.7595495181702,59.4336343544442,66.6733173716414,73.1983782817688,74.731693700831,70.8615345368996,68.5061434722771,53.7662480818489,47.6317246344806,51.1956952240477,56.7205573173804,exports_rate
"KWT_Exports of goods and services, PPP (constant 2017 international $)",Kuwait,KWT,"Exports of goods and services, PPP (constant 2017 international $)",106249848712.07722,117037057823.4349,120016946667.497,129479733894.17564,107114513885.52074,117314099617.15662,141196102934.82773,153705162059.88416,147420223218.82874,143233921644.39395,113082119439.47763,103111013064.40836,105603890901.5711,118458441073.50113,exports
"KWT_Exports of goods and services, PPP (constant 2017 international $) per capita",Kuwait,KWT,"_Exports of goods and services, PPP (constant 2017 international $) per capita",46802.018463621775,49306.33121317305,47929.726838133814,48749.73461843527,37969.7998030945,39210.77809739837,44568.632833604075,45897.85280509003,41805.02113751589,38806.88465201529,29482.31952767582,26058.698610496504,26035.826763984584,28631.73990105197,exports_hab
"KWT_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Kuwait,KWT,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",94425.67663276866,98913.94576620506,95370.9099940934,95762.87168959959,72825.30270791882,73584.69949447592,82710.7515432997,84041.16843366857,75265.70316237432,68782.5356998113,51548.81475480931,45504.218979635334,45230.94166475903,49704.60118665785,exports_labor_unit
"KWT_Foreign direct investment, net inflows (% of GDP)",Kuwait,KWT,"Foreign direct investment, net inflows (% of GDP)",0.28949019208924603,0.119455314954619,0.0972923861060201,-0.004037958719151921,1.0509199173198,1.13033640929465,2.11534199177362,1.6502456791328701,0.823163206167192,0.29871637358424896,0.24845451408201003,0.266886524055014,0.093624941797376,-0.0151996256232746,IDE
"KWT_GDP per capita, PPP (constant 2017 international $)",Kuwait,KWT,"GDP per capita, PPP (constant 2017 international $)",73155.5175576997,75224.3180620525,75581.0105136491,73022.8633510581,63886.047379593496,58810.300196756296,60887.459366985306,61416.8507793094,58995.3652721799,56647.3058985135,54834.2511882074,54708.7026776111,50855.49995960401,50478.5941027391,gdb_hab
"KWT_GDP, PPP (constant 2017 international $)",Kuwait,KWT,"GDP, PPP (constant 2017 international $)",166077509648.455,178557857502.988,189256286365.37698,193949382266.18,180225414529.965,175953596193.87198,192895124522.17102,205676004982.84302,208039840207.04898,209081863880.365,210321760349.228,216475497907.47302,206274942530.65,208845693124.392,gdp
KWT_Gross capital formation (% of GDP),Kuwait,KWT,Gross capital formation (% of GDP),16.426767034569302,16.1577223909466,20.4566521181317,17.629821452909898,17.9658449249415,17.6585286222158,13.544498480815001,12.8349852121103,14.3514853589947,16.2901939941536,25.428084923694602,29.9588270706716,27.730842244711198,25.205709725037604,FBCF
"KWT_Labor force, total",Kuwait,KWT,"Labor force, total",1125222.0,1183221.0,1258423.0,1352087.0,1470842.0,1594273.0,1707107.0,1828927.0,1958664.0,2082417.0,2193690.0,2265966.0,2334771.0,2383249.0,labor_force
KWT_Labor tax and contributions (% of commercial profits),Kuwait,KWT,Labor tax and contributions (% of commercial profits),10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.4,12.4,12.8,13.0,13.0,13.0,13.0,labor_tax_contrib
KWT_Other taxes payable by businesses (% of commercial profits),Kuwait,KWT,Other taxes payable by businesses (% of commercial profits),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other_taxes_entreprise
"KWT_Population, total",Kuwait,KWT,"Population, total",2270198.0,2373672.0,2504019.0,2656009.0,2821045.0,2991884.0,3168060.0,3348853.0,3526376.0,3690941.0,3835591.0,3956875.0,4056099.0,4137312.0,pop
KWT_Profit tax (% of commercial profits),Kuwait,KWT,Profit tax (% of commercial profits),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,profit_tax
