Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
"AZE_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Azerbaijan,AZE,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",9810.145314899202,13621.548381114704,17085.9684788859,17631.006872450525,14651.109285709925,15798.202888897702,15842.868341349076,14924.126191075311,14205.67771018073,12811.325778532251,11110.247788577542,12979.847906236728,13420.256245817684,15006.783165236133,exports_labor_unit
"AZE_Foreign direct investment, net inflows (% of GDP)",Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",33.795047142343805,21.379063620360398,13.900714710248401,8.16090965787349,6.54760084266112,6.33804472365477,6.800620682769481,7.59608356760687,3.5319313988862504,5.8881089160048194,7.62633633321074,11.8826533237788,7.01687943666137,2.97794611197123,IDE
"AZE_GDP per capita, PPP (constant 2017 international $)",Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",7222.036075037809,9605.09610840819,11914.994832597,12903.1519167445,13822.0911094279,14312.7561158751,13905.2457636452,14023.9807176578,14652.7042457179,14875.7816413327,14853.910552572901,14238.784136618799,14121.4069355591,14209.6494059309,gdb_hab
"AZE_GDP, PPP (constant 2017 international $)",Azerbaijan,AZE,"GDP, PPP (constant 2017 international $)",60606243436.306,81494918186.5947,102246145156.964,113075481507.199,123669607924.191,129592445708.164,127553959620.07,130363895571.512,137981599993.781,141841753136.857,143330448105.275,138939378713.709,139152809949.428,141240661085.239,gdp
AZE_Gross capital formation (% of GDP),Azerbaijan,AZE,Gross capital formation (% of GDP),41.534837292872794,29.8593848353266,21.525008374323395,18.6936308461975,18.9486398045026,18.0595784763923,20.267846856879498,22.316723202852604,25.657935443951697,27.5100357372221,27.913571165869797,25.6813382496045,24.378925698557502,20.1294761024821,FBCF
"AZE_Labor force, total",Azerbaijan,AZE,"Labor force, total",3888448.0,3978806.0,4076982.0,4218516.0,4358559.0,4454609.0,4543044.0,4627397.0,4702693.0,4791071.0,4875807.0,4969726.0,5033862.0,5091052.0,labor_force
AZE_Labor tax and contributions (% of commercial profits),Azerbaijan,AZE,Labor tax and contributions (% of commercial profits),30.5,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,labor_tax_contrib
AZE_Other taxes payable by businesses (% of commercial profits),Azerbaijan,AZE,Other taxes payable by businesses (% of commercial profits),2.2,2.5,2.2,2.2,2.2,0.3,2.2,2.2,2.0,2.1,2.1,2.0,2.0,2.6,other_taxes_entreprise
"AZE_Population, total",Azerbaijan,AZE,"Population, total",8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,pop
AZE_Profit tax (% of commercial profits),Azerbaijan,AZE,Profit tax (% of commercial profits),13.7,15.1,13.8,13.8,13.8,13.8,12.9,12.9,12.9,12.9,12.9,13.0,13.0,13.8,profit_tax
AZE_Research and development expenditure (% of GDP),Azerbaijan,AZE,Research and development expenditure (% of GDP),0.21994,0.17165,0.17006,0.16554000000000002,0.24975999999999998,0.21848,0.21084,0.21427,0.20969000000000002,0.20978000000000002,0.22232,0.20636999999999997,0.18467999999999998,0.18484,RetD
AZE_Total tax and contribution rate (% of profit),Azerbaijan,AZE,Total tax and contribution rate (% of profit),46.4,42.4,40.9,40.9,40.9,38.9,40.0,40.0,39.8,39.8,39.8,39.8,39.8,41.2,total_tax_contrib
"AZE_Unemployment, total (% of total labor force) (modeled ILO estimate)",Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.300000190734861,6.619999885559079,6.53999996185303,6.050000190734861,5.7399997711181605,5.630000114440921,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5.0,5.0,4.90000009536743,unemployment rate
BEL_Exports of goods and services (% of GDP),Belgium,BEL,Exports of goods and services (% of GDP),74.28282892139529,76.8049970552189,78.3018047028263,80.8806199752035,68.83400370822761,75.85006447924641,80.69736291246221,80.4044905064987,79.3243484015476,79.80100907362299,77.80528215167979,79.42961547395359,83.19343914968191,82.9866856175044,exports_rate
"BEL_Exports of goods and services, PPP (constant 2017 international $)",Belgium,BEL,"Exports of goods and services, PPP (constant 2017 international $)",361997689780.9196,383841968259.6841,405710900755.4104,420945662374.303,351009393942.21735,397865523110.2687,430464379978.7003,432072627635.59814,428225831031.808,437599349311.4485,435365515246.2712,450084444841.3304,478992701315.47266,486461493757.34875,exports
"BEL_Exports of goods and services, PPP (constant 2017 international $) per capita",Belgium,BEL,"_Exports of goods and services, PPP (constant 2017 international $) per capita",34546.323220031765,36390.168434467036,38182.03984259017,39304.08250088987,32511.42699228512,36516.2115291705,38997.4709772026,38901.16799450993,38373.529259378025,39039.80052126138,38616.103112476594,39720.03203493175,42108.66357332994,42571.033072684244,exports_hab
"BEL_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Belgium,BEL,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",78421.44207140505,82816.65996230379,85905.22998996785,88318.07304413221,73305.945755515,81406.32624530219,88443.8915201281,88136.42931944782,86382.59716181256,87810.99844653935,87057.2586281839,89917.88937206742,95087.1929724675,95576.65948308459,exports_labor_unit
