"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"340","CZE",2011,4,3640335,5043.44,221.859458770914,101.93906212364,2012253.07389826,6.71099996566772,10496088,24173.1941219557,0.00173018622793059,0.552765905857086,"Iq_GFCF",1075395,19.09825,0.102456743884007,-0.311982821420262
"341","DEU",2011,5,2428078,41577,27.2115910914136,101.961422130426,1591290.3399837,5.82399988174438,80274983,22514.0605184882,0.000499520021338931,0.655370354652405,"Iq_GFCF",554041,0.754309,0.00690178906671335,0.917978974713342
"342","DNK",2011,6,1593742,2787,261.674486517152,100.553865087869,1052342.64404905,7.57299995422363,5570572,27685.9830494902,0.00913203001844479,0.660296738147736,"Iq_GFCF",329300,5.624075,0.0591142166369989,-0.387949548869427
"343","EST",2011,7,14616.4,575.33,7.16533670915582,105.719282632835,8219.49732797146,12.3280000686646,1327439,24225.0900494624,0.0109925221753385,0.562347590923309,"Iq_GFCF",4199.10009765625,0.754595,0.00316330927270952,-0.462409021355952
"344","GRC",2011,8,181909.2,4381.82,12.9062283124388,96.8502059535391,115388.062002897,17.8649997711182,11104899,7758.59991490071,0.00195558252827625,0.634316802024841,"Iq_GFCF",31561.30078125,0.754309,0.00284210606339148,-0.334257336237814
"345","ESP",2011,9,983670,19112.5,19.1631704357178,101.853473531777,628035.39478898,21.3899993896484,46742697,10906.4939248438,0.000596860176222237,0.638461470603943,"Iq_GFCF",231713.000024795,0.754309,0.00495720219192306,0.16167499641932
"346","FIN",2011,10,170454,2515.5,26.9329748687653,100.992731410048,115084.554177403,7.7810001373291,5388272,18175.5030500651,0.00778321246766891,0.675164878368378,"Iq_GFCF",42610,0.754309,0.00790791556179792,-0.397090038535648
"347","FRA",2011,11,1848583,27048,30.0827622562194,101.046702211508,1265436.45078951,8.81099987030029,65342780,12240.8796964612,0.000573976947480979,0.684544026851654,"Iq_GFCF",450180,0.754309,0.00688951403659287,0.428836527713238
"348","IRL",2011,12,155062.9,1841.89,28.7827340643744,109.268594834984,86986.4866185367,15.3529996871948,4580084,55000.7879998954,0.00979967620198304,0.56097549200058,"Iq_GFCF",29547.599609375,0.754309,0.00645132264154435,-0.419768216230172
"349","ITA",2011,13,1470334.1,24842.7,21.6160563637462,100.500942014914,964465.667337865,8.35900020599365,59379449,11582.6300994351,0.000552833578004781,0.655950009822845,"Iq_GFCF",313784.875,0.754309,0.00528440193171883,0.354591511650926
